,station name,name,address,category,rating,review count
45,05. Antiporto,Bar Impero Siena,Viale Vittorio Emanuele II 10,"Cocktail Bar, Café, Restaurant",,
46,05. Antiporto,Sushiko,Piazzale Carlo Rosselli 25,Sushi Restaurant,,
47,05. Antiporto,Istituto di Estetica Maison De Beautè di Piazzini Luana,Viale Vittorio Emanuele II 50,Hair Salon,,
48,05. Antiporto,Pieraccioni Mobili,Viale Cavour,Furniture and Home Store,,
49,05. Antiporto,Parrocchia S. Petronilla,Via S. Pietro 1,Church,,
50,06. Due Ponti,Burger King,Viale Toselli,"Burger Joint, Fast Food Restaurant",,
51,06. Due Ponti,Simply viale Toselli,Piazza Maestri del Lavori,Department Store,,
52,06. Due Ponti,Curcio Costruzioni,Viale Pietro Toselli 11,General Contractor,,
53,06. Due Ponti,Lastri e Associati SRL Servizi Tec. di Ingegneria,Viale Toselli Pietro 11,Engineer,,
54,06. Due Ponti,Atifasi SRL,Viale Toselli 13,Organization,,
55,06. Due Ponti,Carglass,strada di Busseto ang. Via toselli 18,Car Parts and Accessories,,
56,06. Due Ponti,Prosalus Sanitaria,Viale Pietro Toselli 21,Medical Supply Store,,
57,06. Due Ponti,Perla Pneumatici Siena SRL,Viale Toselli 110,Business and Professional Services,,
58,06. Due Ponti,Associazione Titolari di Farmacia,Viale Toselli Pietro,Organization,,
59,06. Due Ponti,Ldp Progetti Gis SRL,Viale Toselli 43,Architecture Firm,,
60,07. Napoli,Fontebecci,Via Fiorentina 133,"Pizzeria, Italian Restaurant",,
61,07. Napoli,Agriflor2,Via Fiorentina,Flower Store,,
62,07. Napoli,Bar Stellino,Via Fiorentina 105,"Bar, Café",,
63,07. Napoli,Bruzzese Tuttoparquet,Via Fiorentina 112,"Carpet and Flooring Contractor, Painter",,
64,07. Napoli,Enoteca Bruno Dalmazio,Via Fiorentina 107,Wine Store,,
65,07. Napoli,Creme Gelateria Dolceria,Via Fiorentina 151,"Cupcake Shop, Ice Cream Parlor, Pastry Shop",,
66,07. Napoli,Pizzeria Poppi,Via Fiorentina 105,Pizzeria,,
67,07. Napoli,Agriflor Siena,Via Fiorentina 108,Flower Store,,
68,07. Napoli,Massimi Sistemi SRL,Via Fiorentina 153,Computer Repair Service,,
69,07. Napoli,Agriflor Fiori Siena,Via Fiorentina 108,Flower Store,,
70,08. Ospedale,Associazione Coccinelle - Amici del neonato,Viale Bracci 16,,,
71,08. Ospedale,Ospedali Riuniti,Viale Mario Bracci 16,Hospital,,
72,08. Ospedale,Azienda U.S.L. 7 di Siena,Viale Bracci Mario 16,Health and Medicine,,
73,08. Ospedale,Azienda Ospedaliera Senese,Viale Bracci Mario 16,Hospital,,
74,08. Ospedale,Pizzeria Tavola Calda Bracci,Viale Bracci 4,,,
75,08. Ospedale,A.O. Universitaria Senese,Viale M. Bracci 16,,,
76,08. Ospedale,Mensa San Miniato Ristorante,Via de Nicola 9,Restaurant,,
77,08. Ospedale,Associazione Toscana Leucemie Onlus,Viale Bracci Mario 16,Community and Government,,
78,08. Ospedale,Policlinico Santa Maria alle Scotte,Viale Mario Bracci 14,Hospital,,
79,08. Ospedale,Azienda Regionale Per Il Diritto Allo Studio Universitario,Via de Nicola Enrico 9,Organization,,
80,09. Acquacalda,Poste Italiane,Via Savina Petrilli 2,Post Office,,
81,09. Acquacalda,Centro Sociale Anziani Circoscrizione 1,Via Tolomei Bernardo 7,Organization,,
82,09. Acquacalda,E N P A Ente Nazionale Protezione Animali - Sez Prov Siena,Via Tolomei Bernardo 7,Organization,,
83,09. Acquacalda,Automotoclub Ruote Antiche,Via Viligiardi Arturo 28,Organization,,
84,09. Acquacalda,Profumeria Valentina,Via Bernardo Tolomei 9,Health and Beauty Service,,
85,09. Acquacalda,Quercini Maurizio,Via Tolomei Bernardo 9,Building and Land Surveyor,,
86,09. Acquacalda,Helen Doron English,Via Petrilli 7,Language School,,
87,09. Acquacalda,Centro Ascolto Caritas,Via Tolomei Bernardo 1,Church,,
88,09. Acquacalda,Pizzeria La Strana Coppia,Via Celso Cittadini 6,Pizzeria,,
89,09. Acquacalda,Geographike,Via Ambrogio Sansedoni 7,Advertising Agency,,
90,10. Ravacciano,La Grotta di San Francesco,Via Baldassarre Peruzzi 20,"Pizzeria, Italian Restaurant, Soup Spot",,
91,10. Ravacciano,Osteria L'Osteria,Via dei Rossi 79,Italian Restaurant,,
